essay_id,prompt_id,Group,word_count,score,text_clean,aes_essay_index,aes_score,aes_word_count,aes_sentence_count,aes_mean_sentence_length,aes_avg_word_freq,aes_mtld,aes_awl_ratio,aes_clause_density,aes_dependency_depth,aes_noun_complexity,aes_connective_density,aes_lexical_overlap,aes_grammar_errors_per_100
T00149,University Living,E,85,1,"There are several reasons for deciding between them. Apartments might seem much comfortable for having a quiet and good night sleep, but maybe they could be too far away from the campus and if I dont have the money for transportation then it will be difficult for me.

University dormtories will have a great advantage for being close to the schools and having roomates who might take the same classes as you do,

so I would prefer to live in a campus dormitory.",1,47.08905,84,3,28.00000,5.97048,98.78400,0.01190,0.04762,3.37079,1.20000,0.00000,0.09962,3.57143
T00436,Study Abroad,C,89,2,"Why do students study abroad ? student wants to study abroad because of the educational level of understanding in their own country is not suitable for them.

One of the reasons why student go abroad for study is because to have better Job opportunities, and also to have the higher level of education such as Degree and Phd that other country officers.

to conclude student go for schools and offer opportunity for student to able to provide for their school fees and offer education that help them to get jobs.",2,33.77985,89,3,29.66667,6.03281,44.50000,0.04494,0.07865,4.14894,1.04762,3.37079,0.17727,4.49438
T00126,University Living,E,119,2.50000,"If I'm given a chance to live in BYU Hawaii and choose to live between university dormitory or apartments in the community, I will choose the convenience of living in the university dormitories, because it is nearest in the university and coming back will be easier for me, for example when I need or forgot something like laptop I can get it so easy because it is near and convenient.

Also when I get tired from doing things around the campus I can easily get rest. And lastly I can call for help nearby, when emergency comes, troubles I'm facing either in college, life or spiritual things I can easily get it from around because I'm near the campus.",3,35.37510,119,3,39.66667,6.02345,49.16671,0.00840,0.07563,3.41985,0.95238,4.20168,0.19092,0.00000
T00219,Mandatory Attendance,A,125,2.50000,"I have to say I agree with student should be requires to attend classes. I feel this this way for two reason.

first, I think that attend classes will be influence our increases of knowlege. For example, as a student when they attend their classes it'll makes easier to them if they have an issues with their assignments in addition the lecture will help students easier.

second, I remember the stories from my uncle when he was in collage. He says attended the class give a alot of benefits. For instance, my uncle has great grade when he tried to attend classes on time, occasionally he needs to consult with his lecture and makes it easier.

That's why I agree when students attend classes than not attend classes.",4,41.46244,128,8,16.00000,5.92859,65.91232,0.07031,0.14062,2.29371,0.73333,2.34375,0.06823,7.03125
T00280,Technology,D,97,2.50000,"I agree that social media has destroyed real life interactions and relationship by creating a superficial and disconnected way of communication but at the same time i disagree because social media enhanced communication by allowing people to stay connected and share moments regardless of physical distance. It is true that social media can sometimes lead to misunderstanding or miscommunication due to lack of tone and body language in online interactions. Additionally, the constant presence of social media in our lives can lead to distractions and reduced quality time spent with loved ones. On the other hands",5,67.26042,96,4,24.00000,5.77417,95.78667,0.12500,0.04167,3.25000,1.17857,1.04167,0.12862,1.04167
T00013,Reducing Stress,B,198,3,"All of us experience a circumstances in life and we feel stress and difficulties particularly in our daily living but in order for us to cope this we might have a lot of ways to entertain our selves to release all negativity that we've been experiencing. We might been so overwhelmed or in under pressured due to work or school some people nowadays got depressed or took their own life due to difficulties.

Furthermore still lot's of teen used their mobile to release their stress and some adult do unwind to have a break. But for me the best way to reduce stress is to give my self time to refresh for example doing shopping or reading some books and watching movies and It helps me to cope my stress in everything especially in school stuff. I've read some page that being stress is good but too much of it it well result a negativity that's why we need to take a break and relax.

In conclusion giving a time to refresh ourselves makes us more comfortable in everything and we can think properly and we can reduce our stress to the things that we been facing.",6,43.76927,197,6,32.83333,6.00701,72.34592,0.07107,0.07107,2.97585,1.07500,1.01523,0.10970,6.59898
T00027,Reducing Stress,B,272,3,"In modern days with social media being pretty much the center of everyone's life. there have been reports of people with crippling depression and the reason of that comes from family issues or something personal like stress also play a big part into this. So, Are there ways to deal with stress?

Some read to distract themselves. If you enjoy reading just read what you like be it Comedy Drama or Comics etc. I guaranteed that you would be too absorb in the book you're reading and that would allow you to escape the reality even if it's just for a moment.

Some exercise. there have been research that exercise makes you happier, not to mention the health benefits that comes along. you can also take it up a notch by challenge yourself to perform harder exercises. to give yourself a set goal of what you want to do.

Others work in the garden. you can water your plants and that would take you a while to finish. if anything plants are alive too and you are required to be delicate with them. It's like raising a kid that can't cry but you still need to feed them. and you can even vent your problem to them and they would never complain. great hobby to destress to say the least.

We've all experience stress and how it pressure us but that's why we need to take care of this. otherwise it would lead us to bigger problems like depression and even other kinds mental illnesses. I'm sure that these solution will help you manage your stress better and help you through it.",7,43.38346,272,19,14.31579,6.07945,78.53296,0.05882,0.06985,2.56146,1.24390,0.73529,0.08281,6.98529
T00050,Reducing Stress,B,236,3,"Stress for me is inevitable, no matter what you do in life, there will always be stress. How we cope up with stress is what matters. Whenever I feel stress at home, I put on my running shoes, airpods and play my favorite tunes on spotify and start running. It gives me peace of mind and study shows that running or jogging is a great factor for a healthy mental health. I also walk my dog outside because it gives me joy. When I feel stress at work I just go for a break and eat some food to ease my mind before even jumping back to work. Driving my motorcycle is also one of the best ways for me of reducing stress.

I remember back in the pandemic days, we where at the comfort of our home just to avoid getting or catching the virus. At first it was fun but as days, months, and even years pass by, stress and depression start to consume us. My mom and I think of ways to deal with or fight with it by planting some ornamentals and doing garden. It was refreshing and renewing for we found a way to cope up with everything that is happening at that time. There are actaully lots of ways in reducing stress but it really is up to us and it is in our hands how we deal with stress. Mahalo!",8,46.86112,237,13,18.23077,6.00696,73.07796,0.06329,0.05485,2.72481,1.08511,1.26582,0.08714,3.37553
T00068,Reducing Stress,B,179,3,"The best way to reduce stress is to Pray and go to the temple asked the lord's help, guidance to solved our problems , that gives us peace to overcome difficulties in life and be happy again.

We can be stress free if we learn not to worry and trust the lord that we are going to be okay. God's love is unconditional and he is always there for us.

Also by doing activities that makes us happy like attending the church activity ,talking to families and friend. They are our support system that are always there for us.

By attending in the Resilience class in the church, Institute classes really helps us to go closer to the lord. Be engage in activities like sports and music.

When I am stressed, i sing and play guitar at home i also love to paint it makes me so happy and reduces my stress. I treat myself and go shopping too it reduces my stress. we can overcome stress if we allow God in our life and we will be happy..",9,36.08417,178,10,17.80000,6.04865,59.06486,0.03933,0.08989,2.77949,0.90323,1.12360,0.08718,5.61798
T00093,University Living,E,221,3,"Where to live in whether university dormitories or apartments is a good question for all of the students in the university. For my opinion, I prefer to live in university dormitories. I will introduce two reasons about why I have choose this option in following paragraph.

First off, It is more easy to get to know people around you if you live in a dormitory, some of the furniture will be used with everyone like laundry and frigate maybe. Base on it, you will have the opportunity to have the conversation with people and even get a new friend. Above all, you can find out who can be suitable to become your friend by seeing them using the furniture or their living styles. Secondly, the financial problem is always need to be considered. We need to manage our money so that we can survive in the high costing places. And it is the good way to save your money by live in college.

In conclude, live in college is a great choice for me. It can help me to get new friends and even save money from housing loan. If the students want to adjust quickly in the school and study without financial problem, they should choose to live in university dormitories.",10,42.26108,212,12,17.66667,6.13311,66.55620,0.03774,0.07547,2.77155,1.16279,0.00000,0.13394,2.35849
T00003,Reducing Stress,B,273,3.50000,"Gardening as a Stress Relief Mental stress is increasing among people around the world. This era is somthing Some people today exercise and they prefer to talk to someone they know, but I have my personal ways to overcome my stress. I will put them into the furthermore paragraphs.

I think concentrating on work rather than health gives us the most stress. If we focus on health can give better health to get relief from the stress. For example, if someone has more stress they tend to lose their interest on work and have less thinking power due to the workload. Stress is an inevitable part of modern life affecting individual across the globe. Amidst the chaos, garden emerge as serene sanctuaries offering respite and tranquility.
The healing power of garden or just spaces of cultivating plants, they are realms when one can engage with nature and find peace. The lush greenery, vibrant flowers, and the gentle rustle of leaves work in harmony to soothe the mind and spirit.
Gardening as a stress, reliever, the act of gardening itself is therapeutic. planting seeds tending to flowers, and watching life grown provides a sense of accomplishment and connection to the Earth, which can significantly reduce stress level.

In conclusion, Garden services are natural oases, then offering a unique way to elevate stress, rather thought, passive enjoyment or active gardening. These green spaces are vital for metal well-being. I believe in the creation of the god and admire it's beauty which can give peace to oneself.",11,64.32294,255,15,17.00000,5.68443,104.16981,0.09804,0.04314,2.47203,1.23288,0.78431,0.08252,1.56863
T00012,Reducing Stress,B,328,3.50000,"Do you want to escape from the dry and stressful world for a while? or do you want to relax and rest for the mean time? Many people are experiencing stress and feeling tired. They often feel it because of their hectic schedules to work, schools and they find it hard to make some time for themselves. Some of the people I know loves to read books because, they feel calm and it relaxes their mind from overthinking.

For me reading is the best way of reducing stress. I remember when the time that I just got home from my mission, the pressure and the expectation to me really made me feel overwhelmed and stress. And one night, when I was scrolling to my smart phone I see a cheap book that can be bought online. The title of the book is 'ikigai', which means the purpose of life. While reading the book I bought online, it gives me an impression about there are many important things to do, and I cannot do it if I let my self stuck on a situation of stress. That book gives me courage to move everyday and take those baby steps on my feet. In order to accomplish my goals and plans, I really need to do something and start doing it. As I pick my self up I reset my goals and plans in life. I started to goal what I need to accomplish this year and have some plans to achieve it by setting a goal every month. I am really glad that I was able to get rid of my stress from reading a book

Truly, reading is a really big help when we are feeling stress and overwhelmed. It keeps our mind thinking about being creative and getting inspired. Being stress is always on our way but, there are many ways of reducing it. Remember to breath and make some time of yourself too because, ""health is wealth.",12,42.31242,330,18,18.33333,6.10570,60.36945,0.05152,0.07576,2.72376,1.27869,0.90909,0.12734,2.42424
